Zip Code,Estimated Total Population 2000, Estimated Total Population 2001, Estimated Total Population 2002, Estimated Total Population 2003, Estimated Total Population 2004, Estimated Total Population 2005, Estimated Total Population 2006, Estimated Total Population 2007, Estimated Total Population 2008, Estimated Total Population 2009, Estimated Total Population 2010, Estimated Total Population 2011, Estimated Total Population 2012, Estimated Total Population 2013, Estimated Total Population 2014, Estimated Total Population 2015, Estimated Total Population 2016
01341, 2888, 2906, 2934, 2938, 2972, 2996, 3038, 3069, 3094, 3110, 3102, 3120, 3134, 3112, 3128, 3161, 3216, 214
01501, 68680, 70178, 71822, 73015, 74296, 75646, 77660, 79487, 81049, 82493, 84053, 84558, 85136, 87174, 88787, 89961, 91831, 15373
02019, 85903, 87896, 89428, 90186, 92233, 94514, 96998, 99524, 100607, 101530, 102121, 102258, 102569, 103482, 103910, 104806, 105959, 16218
02048, 504, 498, 489, 490, 486, 485, 490, 493, 496, 498, 495, 498, 505, 507, 508, 509, 520, -9
02149, 113230, 115098, 116887, 118533, 119843, 121843, 124248, 126356, 127883, 128781, 129842, 130445, 131116, 132819, 135759, 138750, 141599, 16612
02169, 9953, 10100, 10226, 10289, 10474, 10614, 10825, 11070, 11357, 11576, 11750, 12055, 12248, 12333, 12629, 12694, 12797, 1797
02170, 9953, 10100, 10226, 10289, 10474, 10614, 10825, 11070, 11357, 11576, 11750, 12055, 12248, 12333, 12629, 12694, 12797, 1797
02171, 9953, 10100, 10226, 10289, 10474, 10614, 10825, 11070, 11357, 11576, 11750, 12055, 12248, 12333, 12629, 12694, 12797, 1797
02269, 9953, 10100, 10226, 10289, 10474, 10614, 10825, 11070, 11357, 11576, 11750, 12055, 12248, 12333, 12629, 12694, 12797, 1797
02334, 861, 884, 906, 939, 981, 1012, 1033, 1065, 1100, 1122, 1134, 1149, 1160, 1180, 1189, 1204, 1243, 273
02474, 23682, 24331, 24964, 25567, 26096, 26776, 27547, 28254, 28832, 29266, 29735, 29799, 29904, 30268, 30448, 30928, 31319, 6053
02476, 23682, 24331, 24964, 25567, 26096, 26776, 27547, 28254, 28832, 29266, 29735, 29799, 29904, 30268, 30448, 30928, 31319, 6053
02631, 4437, 4454, 4459, 4459, 4470, 4477, 4520, 4500, 4518, 4556, 4566, 4561, 4599, 4638, 4680, 4723, 4721, 129
02632, 567, 563, 558, 553, 551, 546, 545, 541, 536, 530, 524, 535, 534, 542, 542, 540, 540, -43
02634, 567, 563, 558, 553, 551, 546, 545, 541, 536, 530, 524, 535, 534, 542, 542, 540, 540, -43
02636, 567, 563, 558, 553, 551, 546, 545, 541, 536, 530, 524, 535, 534, 542, 542, 540, 540, -43
02770, 10997, 11234, 11538, 11846, 12190, 12612, 12959, 13343, 13716, 14044, 14285, 14200, 14207, 14245, 14321, 14417, 14671, 3288
02840, 7279, 7392, 7456, 7525, 7569, 7661, 7742, 7886, 7981, 8043, 8083, 8088, 8135, 8160, 8197, 8234, 8258, 804
02841, 7279, 7392, 7456, 7525, 7569, 7661, 7742, 7886, 7981, 8043, 8083, 8088, 8135, 8160, 8197, 8234, 8258, 804
02915, 9683, 9856, 10033, 10090, 10208, 10403, 10646, 10867, 11062, 11250, 11407, 11463, 11594, 11663, 11763, 11736, 11750, 1724
03032, 68680, 70178, 71822, 73015, 74296, 75646, 77660, 79487, 81049, 82493, 84053, 84558, 85136, 87174, 88787, 89961, 91831, 15373
03077, 3831, 3810, 3782, 3730, 3716, 3705, 3732, 3697, 3676, 3686, 3678, 3664, 3680, 3683, 3683, 3691, 3682, -153
03771, 32211, 32809, 33385, 33921, 34360, 34996, 35750, 36419, 36921, 37240, 37606, 37668, 37760, 37937, 38337, 38747, 39544, 5395
03773, 7279, 7392, 7456, 7525, 7569, 7661, 7742, 7886, 7981, 8043, 8083, 8088, 8135, 8160, 8197, 8234, 8258, 804
03818, 2888, 2906, 2934, 2938, 2972, 2996, 3038, 3069, 3094, 3110, 3102, 3120, 3134, 3112, 3128, 3161, 3216, 214
03839, 10997, 11234, 11538, 11846, 12190, 12612, 12959, 13343, 13716, 14044, 14285, 14200, 14207, 14245, 14321, 14417, 14671, 3288
03866, 10997, 11234, 11538, 11846, 12190, 12612, 12959, 13343, 13716, 14044, 14285, 14200, 14207, 14245, 14321, 14417, 14671, 3288
03867, 10997, 11234, 11538, 11846, 12190, 12612, 12959, 13343, 13716, 14044, 14285, 14200, 14207, 14245, 14321, 14417, 14671, 3288
03868, 10997, 11234, 11538, 11846, 12190, 12612, 12959, 13343, 13716, 14044, 14285, 14200, 14207, 14245, 14321, 14417, 14671, 3288
04071, 3831, 3810, 3782, 3730, 3716, 3705, 3732, 3697, 3676, 3686, 3678, 3664, 3680, 3683, 3683, 3691, 3682, -153
04210, 68680, 70178, 71822, 73015, 74296, 75646, 77660, 79487, 81049, 82493, 84053, 84558, 85136, 87174, 88787, 89961, 91831, 15373
04211, 68680, 70178, 71822, 73015, 74296, 75646, 77660, 79487, 81049, 82493, 84053, 84558, 85136, 87174, 88787, 89961, 91831, 15373
04212, 68680, 70178, 71822, 73015, 74296, 75646, 77660, 79487, 81049, 82493, 84053, 84558, 85136, 87174, 88787, 89961, 91831, 15373
04217, 79736, 81706, 84065, 86314, 88672, 91215, 94243, 96765, 98619, 99860, 100548, 102659, 104746, 106466, 108187, 109983, 112227, 20812
04292, 36174, 36857, 37716, 38524, 39380, 40317, 41465, 42388, 43019, 43383, 43512, 43679, 44046, 44463, 45464, 47082, 48061, 7338
04471, 838, 843, 847, 851, 853, 859, 867, 871, 878, 881, 879, 884, 888, 891, 894, 905, 904, 41
04643, 737, 744, 739, 727, 736, 737, 740, 744, 748, 745, 739, 735, 738, 738, 735, 736, 725, 2
04734, 11358, 11870, 12320, 12661, 13182, 13739, 14329, 14930, 15314, 15672, 15974, 16179, 16386, 16545, 16792, 17030, 17251, 4616
04740, 861, 884, 906, 939, 981, 1012, 1033, 1065, 1100, 1122, 1134, 1149, 1160, 1180, 1189, 1204, 1243, 273
04901, 1675, 1655, 1628, 1631, 1621, 1618, 1638, 1648, 1661, 1669, 1659, 1669, 1674, 1679, 1695, 1697, 1710, -16
04903, 1675, 1655, 1628, 1631, 1621, 1618, 1638, 1648, 1661, 1669, 1659, 1669, 1674, 1679, 1695, 1697, 1710, -16
04949, 3620, 3701, 3786, 3821, 3882, 3973, 4083, 4183, 4274, 4363, 4440, 4451, 4509, 4540, 4580, 4574, 4571, 820
04951, 32211, 32809, 33385, 33921, 34360, 34996, 35750, 36419, 36921, 37240, 37606, 37668, 37760, 37937, 38337, 38747, 39544, 5395
04953, 7279, 7392, 7456, 7525, 7569, 7661, 7742, 7886, 7981, 8043, 8083, 8088, 8135, 8160, 8197, 8234, 8258, 804
05032, 79736, 81706, 84065, 86314, 88672, 91215, 94243, 96765, 98619, 99860, 100548, 102659, 104746, 106466, 108187, 109983, 112227, 20812
05250, 23682, 24331, 24964, 25567, 26096, 26776, 27547, 28254, 28832, 29266, 29735, 29799, 29904, 30268, 30448, 30928, 31319, 6053
05492, 1675, 1655, 1628, 1631, 1621, 1618, 1638, 1648, 1661, 1669, 1659, 1669, 1674, 1679, 1695, 1697, 1710, -16
05767, 10997, 11234, 11538, 11846, 12190, 12612, 12959, 13343, 13716, 14044, 14285, 14200, 14207, 14245, 14321, 14417, 14671, 3288
05855, 7279, 7392, 7456, 7525, 7569, 7661, 7742, 7886, 7981, 8043, 8083, 8088, 8135, 8160, 8197, 8234, 8258, 804
06468, 32211, 32809, 33385, 33921, 34360, 34996, 35750, 36419, 36921, 37240, 37606, 37668, 37760, 37937, 38337, 38747, 39544, 5395
06484, 20742, 20811, 21061, 21303, 21663, 22118, 22558, 23147, 23580, 23709, 23747, 23800, 23940, 24055, 24094, 23993, 24140, 3005
06601, 2837, 2849, 2846, 2895, 2922, 2958, 3038, 3099, 3166, 3226, 3252, 3252, 3267, 3286, 3310, 3317, 3356, 415
